policy_id,application_id,customer_id,product_id,agent_id,issue_date,policy_status,face_amount,annual_premium,payment_frequency,risk_class,underwriting_path,owner_state,issue_age,smoker_status_at_issue,billing_method,replacement_indicator
POL0000001,APP0000001,CUST0005228,PRD_IUL,AGT01030,2023-03-29,Active,100000,1891.17,Monthly,Standard,Accelerated,MO,69,Former,ACH,N
POL0000002,APP0000002,CUST0001737,PRD_TERM30,AGT00369,2023-01-17,Active,400000,1074.67,Monthly,Preferred,Accelerated,NY,51,Never,Direct Bill,N
POL0000003,APP0000003,CUST0007911,PRD_WL100,AGT00161,2023-03-02,Lapsed,75000,1281.90,Monthly,Preferred,Accelerated,MI,55,Former,Direct Bill,N
POL0000004,APP0000004,CUST0010898,PRD_WL100,AGT00017,2024-08-07,Active,550000,3432.89,Annual,Preferred Plus,Full Underwriting,UT,29,Never,ACH,N
POL0000005,APP0000005,CUST0005036,PRD_WL100,AGT00183,2024-08-07,Lapsed,725000,4387.67,Monthly,Preferred Plus,Accelerated,AZ,28,Never,Direct Bill,N
POL0000006,APP0000006,CUST0000719,PRD_TERM30,AGT00176,2025-03-26,Active,1700000,3803.92,Semiannual,Preferred Plus,Full Underwriting,NJ,52,Never,Payroll Deduction,N
POL0000007,APP0000007,CUST0004411,PRD_WL100,AGT00480,2024-09-27,Active,850000,29187.10,Monthly,Standard,Full Underwriting,DC,76,Never,Credit Card,N
POL0000008,APP0000008,CUST0007936,PRD_TERM30,AGT00296,2023-12-01,Active,125000,319.58,Monthly,Preferred,Full Underwriting,KS,45,Never,ACH,N
POL0000009,APP0000009,CUST0004468,PRD_IUL,AGT00682,2024-10-25,Active,850000,7909.18,Monthly,Preferred Plus,Full Underwriting,NJ,56,Never,Direct Bill,N
POL0000010,APP0000010,CUST0005087,PRD_TERM30,AGT00868,2024-08-21,Active,125000,335.09,Monthly,Preferred,Simplified,AK,47,Never,ACH,N
POL0000011,APP0000011,CUST0007708,PRD_TERM20,AGT01032,2025-05-03,Active,575000,1422.74,Annual,Preferred,Accelerated,LA,54,Never,Credit Card,N
POL0000012,APP0000015,CUST0011279,PRD_TERM20,AGT01060,2023-09-28,Active,550000,659.38,Quarterly,Standard,Full Underwriting,CT,21,Never,Credit Card,N
