coverage_id,policy_id,coverage_type,coverage_amount,annual_rider_premium,coverage_status
COV00000001,POL0000001,Base Death Benefit,100000,0.00,Active
COV00000002,POL0000001,Chronic Illness Rider,0,189.12,Active
COV00000003,POL0000002,Base Death Benefit,400000,0.00,Active
COV00000004,POL0000003,Base Death Benefit,75000,0.00,Active
COV00000005,POL0000004,Base Death Benefit,550000,0.00,Active
COV00000006,POL0000004,Waiver of Premium,0,274.63,Active
COV00000007,POL0000005,Base Death Benefit,725000,0.00,Active
COV00000008,POL0000005,Waiver of Premium,0,280.00,Active
COV00000009,POL0000006,Base Death Benefit,1700000,0.00,Active
COV00000010,POL0000007,Base Death Benefit,850000,0.00,Active
COV00000011,POL0000008,Base Death Benefit,125000,0.00,Active
COV00000012,POL0000008,Waiver of Premium,0,25.57,Active
COV00000013,POL0000009,Base Death Benefit,850000,0.00,Active
COV00000014,POL0000009,Chronic Illness Rider,0,520.00,Active
COV00000015,POL0000010,Base Death Benefit,125000,0.00,Active
COV00000016,POL0000010,Accidental Death Benefit,125000,15.00,Active
COV00000017,POL0000011,Base Death Benefit,575000,0.00,Active
COV00000018,POL0000012,Base Death Benefit,550000,0.00,Active
COV00000019,POL0000013,Base Death Benefit,575000,0.00,Active
COV00000020,POL0000013,Waiver of Premium,0,103.79,Active
COV00000021,POL0000014,Base Death Benefit,425000,0.00,Active
COV00000022,POL0000014,Waiver of Premium,0,40.78,Active
COV00000023,POL0000014,Accidental Death Benefit,425000,51.00,Active
COV00000024,POL0000015,Base Death Benefit,75000,0.00,Active
COV00000025,POL0000016,Base Death Benefit,650000,0.00,Active
COV00000026,POL0000017,Base Death Benefit,1275000,0.00,Active
COV00000027,POL0000017,Waiver of Premium,0,142.04,Active
COV00000028,POL0000017,Accidental Death Benefit,1275000,153.00,Active
COV00000029,POL0000018,Base Death Benefit,150000,0.00,Active
COV00000030,POL0000019,Base Death Benefit,575000,0.00,Active
COV00000031,POL0000019,Accidental Death Benefit,575000,69.00,Active
COV00000032,POL0000020,Base Death Benefit,425000,0.00,Active
COV00000033,POL0000021,Base Death Benefit,1450000,0.00,Active
COV00000034,POL0000021,Waiver of Premium,0,280.00,Active
COV00000035,POL0000022,Base Death Benefit,575000,0.00,Active
