application_id,customer_id,product_id,agent_id,application_date,requested_face_amount,payment_frequency_requested,underwriting_path,application_status,risk_class,decision_reason,days_to_decision,placement_flag,quoted_annual_premium,replacement_indicator
APP0000001,CUST0005228,PRD_IUL,AGT01030,2023-03-23,100000,Monthly,Accelerated,Issued,Standard,Approved as applied,6,Y,1891.17,N
APP0000002,CUST0001737,PRD_TERM30,AGT00369,2023-01-10,400000,Monthly,Accelerated,Issued,Preferred,Approved as applied,5,Y,1074.67,N
APP0000003,CUST0007911,PRD_WL100,AGT00161,2023-02-17,75000,Monthly,Accelerated,Issued,Preferred,Approved as applied,6,Y,1281.90,N
APP0000004,CUST0010898,PRD_WL100,AGT00017,2024-07-08,550000,Annual,Full Underwriting,Issued,Preferred Plus,Approved as applied,23,Y,3432.89,N
APP0000005,CUST0005036,PRD_WL100,AGT00183,2024-07-26,725000,Monthly,Accelerated,Issued,Preferred Plus,Approved as applied,7,Y,4387.67,N
APP0000006,CUST0000719,PRD_TERM30,AGT00176,2025-03-17,1700000,Semiannual,Full Underwriting,Issued,Preferred Plus,Approved as applied,8,Y,3803.92,N
APP0000007,CUST0004411,PRD_WL100,AGT00480,2024-09-07,850000,Monthly,Full Underwriting,Issued,Standard,Approved as applied,17,Y,29187.10,N
APP0000008,CUST0007936,PRD_TERM30,AGT00296,2023-11-10,125000,Monthly,Full Underwriting,Issued,Preferred,Approved as applied,16,Y,319.58,N
APP0000009,CUST0004468,PRD_IUL,AGT00682,2024-09-18,850000,Monthly,Full Underwriting,Issued,Preferred Plus,Approved as applied,33,Y,7909.18,N
APP0000010,CUST0005087,PRD_TERM30,AGT00868,2024-07-11,125000,Monthly,Simplified,Issued,Preferred,Approved as applied,39,Y,335.09,N
APP0000011,CUST0007708,PRD_TERM20,AGT01032,2025-04-29,575000,Annual,Accelerated,Issued,Preferred,Approved as applied,2,Y,1422.74,N
APP0000012,CUST0005422,PRD_UL,AGT00294,2023-10-19,100000,Semiannual,Full Underwriting,Postponed,Preferred Plus,Pending physician statement,34,N,596.48,N
APP0000013,CUST0007435,PRD_TERM20,AGT00074,2025-04-24,1150000,Semiannual,Full Underwriting,Withdrawn,Standard,Replaced by other carrier,9,N,1291.33,N
APP0000014,CUST0011945,PRD_TERM30,AGT01126,2023-09-26,175000,Monthly,Full Underwriting,Postponed,Preferred Plus,Recent medical event,17,N,317.46,N
APP0000015,CUST0011279,PRD_TERM20,AGT01060,2023-09-04,550000,Quarterly,Full Underwriting,Issued,Standard,Approved as applied,18,Y,659.38,N
APP0000016,CUST0000899,PRD_TERM30,AGT00974,2025-04-13,575000,Monthly,Full Underwriting,Issued,Preferred,Approved as applied,42,Y,1297.33,N
APP0000017,CUST0001955,PRD_TERM20,AGT00910,2023-03-29,425000,Monthly,Accelerated,Issued,Preferred Plus,Approved as applied,4,Y,509.69,N
APP0000018,CUST0012380,PRD_WL100,AGT00755,2023-12-12,75000,Monthly,Simplified,Issued,Preferred,Approved as applied,12,Y,614.86,N
APP0000019,CUST0011488,PRD_TERM30,AGT00404,2023-08-11,1450000,Monthly,Full Underwriting,Postponed,Preferred,Pending physician statement,38,N,2946.58,N
APP0000020,CUST0004131,PRD_IUL,AGT00696,2024-04-10,650000,Monthly,Full Underwriting,Issued,Standard,Approved as applied,25,Y,7729.35,N
APP0000021,CUST0011643,PRD_TERM30,AGT00736,2025-05-11,1275000,Monthly,Full Underwriting,Issued,Preferred,Approved as applied,15,Y,1775.48,N
APP0000022,CUST0011875,PRD_WL100,AGT00962,2023-03-03,150000,Monthly,Simplified,Issued,Standard,Approved as applied,26,Y,1403.40,N
APP0000023,CUST0010762,PRD_TERM20,AGT00441,2023-09-29,575000,Monthly,Accelerated,Issued,Preferred,Approved as applied,3,Y,858.94,N
APP0000024,CUST0010593,PRD_TERM30,AGT01000,2023-09-02,425000,Monthly,Full Underwriting,Issued,Preferred,Approved as applied,23,Y,1079.93,N
APP0000025,CUST0002041,PRD_TERM10,AGT00079,2025-10-21,1450000,Monthly,Simplified,Issued,Preferred,Approved as applied,32,Y,3930.35,N
APP0000026,CUST0009612,PRD_TERM30,AGT00393,2023-07-06,575000,Annual,Guaranteed Issue,Issued,Table 2,Approved with table rating,20,Y,2954.50,N
APP0000027,CUST0002727,PRD_WL100,AGT00263,2023-01-09,650000,Monthly,Accelerated,Issued,Preferred,Approved as applied,4,Y,4206.56,N
APP0000028,CUST0003872,PRD_TERM20,AGT01062,2023-04-29,125000,Monthly,Full Underwriting,Issued,Standard,Approved as applied,32,Y,207.65,N
APP0000029,CUST0004160,PRD_TERM20,AGT00474,2024-12-20,425000,Monthly,Full Underwriting,Issued,Standard,Approved as applied,20,Y,637.97,N
APP0000030,CUST0010703,PRD_TERM30,AGT00963,2024-01-21,125000,Semiannual,Simplified,Issued,Preferred,Approved as applied,30,Y,377.89,N
APP0000031,CUST0008353,PRD_TERM10,AGT00875,2024-04-27,300000,Monthly,Full Underwriting,Issued,Preferred Plus,Approved as applied,29,Y,269.39,Y
APP0000032,CUST0008011,PRD_WL100,AGT00814,2024-09-09,75000,Monthly,Accelerated,Postponed,Preferred,Lab follow-up,4,N,1092.42,Y
APP0000033,CUST0008630,PRD_TERM20,AGT00532,2024-02-18,1450000,Monthly,Full Underwriting,Postponed,Preferred Plus,Financial documentation,41,N,2504.70,N
APP0000034,CUST0000369,PRD_TERM30,AGT00905,2023-06-10,300000,Annual,Accelerated,Issued,Standard,Approved as applied,1,Y,654.91,N
APP0000035,CUST0000838,PRD_TERM30,AGT00372,2023-09-15,725000,Monthly,Full Underwriting,Issued,Table 2,Approved with table rating,26,Y,1276.55,N
APP0000036,CUST0004227,PRD_IUL,AGT00584,2025-08-24,100000,Quarterly,Full Underwriting,Postponed,Standard Smoker,Recent medical event,31,N,2553.55,N
APP0000037,CUST0003082,PRD_TERM30,AGT00930,2024-04-17,725000,Monthly,Full Underwriting,Withdrawn,Preferred Plus,Customer did not proceed,18,N,1605.98,N
APP0000038,CUST0001157,PRD_TERM20,AGT00974,2025-06-05,200000,Monthly,Full Underwriting,Issued,Standard,Approved as applied,33,Y,303.45,N
APP0000039,CUST0011065,PRD_TERM30,AGT00886,2025-03-08,100000,Monthly,Full Underwriting,Withdrawn,Table 2,Price objection,15,N,496.01,N
APP0000040,CUST0001983,PRD_TERM20,AGT00386,2024-11-10,1275000,Monthly,Simplified,Issued,Standard Smoker,Approved as applied,32,Y,4480.94,Y
APP0000041,CUST0006654,PRD_TERM20,AGT00090,2023-03-10,1100000,Semiannual,Full Underwriting,Incomplete,Table 2,Missing requirements,7,N,2277.39,N
APP0000042,CUST0006406,PRD_TERM20,AGT00533,2024-07-12,175000,Monthly,Full Underwriting,Declined,Decline,Build/BMI,15,N,0.00,N
APP0000043,CUST0003882,PRD_IUL,AGT00807,2024-10-24,725000,Monthly,Full Underwriting,Declined,Decline,Medical history,36,N,0.00,N
APP0000044,CUST0000135,PRD_TERM30,AGT00741,2024-01-11,850000,Annual,Full Underwriting,Postponed,Table 2,Pending physician statement,16,N,2422.89,N
APP0000045,CUST0001219,PRD_TERM20,AGT00958,2023-04-15,100000,Monthly,Accelerated,Declined,Decline,Prescription history,2,N,0.00,N
APP0000046,CUST0007382,PRD_TERM30,AGT00306,2023-02-22,550000,Monthly,Accelerated,Issued,Standard,Approved as applied,6,Y,1600.77,N
APP0000047,CUST0010859,PRD_WL100,AGT00004,2024-07-08,150000,Annual,Simplified,Issued,Table 2,Approved with table rating,26,Y,7767.06,N
APP0000048,CUST0010991,PRD_WL100,AGT00085,2024-04-03,300000,Monthly,Accelerated,Issued,Preferred,Approved as applied,5,Y,4111.23,Y
APP0000049,CUST0009571,PRD_TERM30,AGT00624,2024-12-04,1450000,Monthly,Simplified,Declined,Decline,Prescription history,21,N,0.00,N
APP0000050,CUST0003081,PRD_TERM20,AGT00887,2024-01-25,200000,Monthly,Accelerated,Postponed,Preferred,Lab follow-up,8,N,513.07,N
APP0000051,CUST0006852,PRD_UL,AGT01131,2023-09-30,175000,Monthly,Full Underwriting,Issued,Preferred,Approved as applied,35,Y,763.00,N
APP0000052,CUST0007942,PRD_TERM20,AGT00687,2025-03-14,425000,Monthly,Accelerated,Postponed,Preferred Plus,Recent medical event,5,N,657.55,N
APP0000053,CUST0004366,PRD_TERM20,AGT00491,2024-11-17,650000,Monthly,Simplified,Postponed,Standard,Pending physician statement,28,N,2242.90,N
APP0000054,CUST0009729,PRD_WL100,AGT00456,2023-12-09,575000,Quarterly,Accelerated,Issued,Preferred,Approved as applied,8,Y,5182.07,N
APP0000055,CUST0002179,PRD_WL100,AGT01072,2023-08-03,75000,Monthly,Simplified,Issued,Preferred,Approved as applied,16,Y,699.32,N
APP0000056,CUST0004218,PRD_UL,AGT00614,2025-07-03,425000,Monthly,Full Underwriting,Postponed,Preferred Plus,Pending physician statement,32,N,2444.83,N
APP0000057,CUST0001360,PRD_WL100,AGT00864,2024-03-01,125000,Monthly,Accelerated,Issued,Preferred,Approved as applied,7,Y,1103.84,N
APP0000058,CUST0005068,PRD_TERM10,AGT00804,2025-07-28,1150000,Monthly,Accelerated,Declined,Decline,Financial underwriting,8,N,0.00,N
APP0000059,CUST0001837,PRD_FE,AGT00885,2024-12-13,20000,Monthly,Accelerated,Issued,Table 2,Approved with table rating,6,Y,896.64,N
APP0000060,CUST0008864,PRD_IUL,AGT00852,2025-06-19,125000,Annual,Simplified,Issued,Preferred,Approved as applied,17,Y,958.27,N
APP0000061,CUST0007878,PRD_TERM20,AGT00061,2023-05-08,575000,Monthly,Full Underwriting,Postponed,Preferred,Recent medical event,38,N,1089.27,N
APP0000062,CUST0007752,PRD_WL100,AGT00851,2024-09-19,125000,Monthly,Full Underwriting,Issued,Preferred,Approved as applied,14,Y,1481.17,N
APP0000063,CUST0003719,PRD_TERM30,AGT00115,2025-10-18,175000,Monthly,Full Underwriting,Postponed,Standard Smoker,Recent medical event,40,N,1038.86,N
APP0000064,CUST0005834,PRD_TERM20,AGT00935,2025-05-14,200000,Monthly,Full Underwriting,Issued,Preferred,Approved as applied,31,Y,346.19,N
APP0000065,CUST0012485,PRD_UL,AGT00253,2024-02-28,225000,Semiannual,Full Underwriting,Issued,Preferred,Approved as applied,36,Y,3346.83,N
APP0000066,CUST0006841,PRD_IUL,AGT00507,2023-02-24,1150000,Quarterly,Full Underwriting,Issued,Standard,Approved as applied,14,Y,10631.97,N
APP0000067,CUST0006804,PRD_TERM20,AGT00854,2024-09-05,100000,Monthly,Simplified,Issued,Preferred Plus,Approved as applied,41,Y,242.67,N
APP0000068,CUST0006597,PRD_IUL,AGT00405,2025-02-01,400000,Monthly,Full Underwriting,Postponed,Standard Smoker,Recent medical event,31,N,17037.27,N
APP0000069,CUST0010527,PRD_UL,AGT00569,2025-03-03,300000,Monthly,Full Underwriting,Incomplete,Table 2,Missing requirements,12,N,3918.65,N
APP0000070,CUST0004874,PRD_WL100,AGT01092,2024-02-29,75000,Monthly,Full Underwriting,Postponed,Standard,Pending physician statement,37,N,671.52,N
APP0000071,CUST0011362,PRD_WL100,AGT01079,2025-02-04,850000,Monthly,Full Underwriting,Issued,Preferred Plus,Approved as applied,37,Y,7554.36,N
APP0000072,CUST0005113,PRD_UL,AGT00546,2023-08-24,1050000,Annual,Full Underwriting,Issued,Preferred Plus,Approved as applied,18,Y,4533.39,N
