beneficiary_id,policy_id,beneficiary_sequence,relationship_to_insured,beneficiary_share_pct,irrevocable_flag
BEN00000001,POL0000001,1,Spouse,100,N
BEN00000002,POL0000002,1,Spouse,50,N
BEN00000003,POL0000002,2,Spouse,50,N
BEN00000004,POL0000003,1,Child,33,N
BEN00000005,POL0000003,2,Child,67,N
BEN00000006,POL0000004,1,Other,100,N
BEN00000007,POL0000005,1,Spouse,100,N
BEN00000008,POL0000006,1,Spouse,100,N
BEN00000009,POL0000007,1,Spouse,100,N
BEN00000010,POL0000008,1,Spouse,25,N
BEN00000011,POL0000008,2,Parent,75,N
BEN00000012,POL0000009,1,Child,25,N
BEN00000013,POL0000009,2,Spouse,75,N
BEN00000014,POL0000010,1,Spouse,100,N
BEN00000015,POL0000011,1,Child,75,N
BEN00000016,POL0000011,2,Spouse,25,N
BEN00000017,POL0000012,1,Child,100,N
BEN00000018,POL0000013,1,Spouse,75,N
BEN00000019,POL0000013,2,Spouse,25,N
BEN00000020,POL0000014,1,Spouse,100,N
BEN00000021,POL0000015,1,Spouse,100,N
BEN00000022,POL0000016,1,Child,100,N
BEN00000023,POL0000017,1,Spouse,100,N
BEN00000024,POL0000018,1,Spouse,100,N
BEN00000025,POL0000019,1,Spouse,50,N
BEN00000026,POL0000019,2,Spouse,50,N
BEN00000027,POL0000020,1,Spouse,100,N
BEN00000028,POL0000021,1,Sibling,100,N
BEN00000029,POL0000022,1,Child,50,N
BEN00000030,POL0000022,2,Spouse,50,N
BEN00000031,POL0000023,1,Spouse,50,N
BEN00000032,POL0000023,2,Child,50,N
BEN00000033,POL0000024,1,Spouse,100,N
BEN00000034,POL0000025,1,Child,60,N
BEN00000035,POL0000025,2,Spouse,40,N
BEN00000036,POL0000026,1,Spouse,100,N
BEN00000037,POL0000027,1,Child,100,Y
BEN00000038,POL0000028,1,Child,100,N
BEN00000039,POL0000029,1,Parent,100,N
BEN00000040,POL0000030,1,Spouse,100,N
BEN00000041,POL0000031,1,Spouse,75,N
BEN00000042,POL0000031,2,Spouse,25,N
